Project,Latitude,Longitude,Site,Start BCE,End BCE,Specimen Count,EOL URI,EOL Taxa Label,Analyst Taxanomic Designation (Source data)
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,4,http://eol.org/pages/1178684,Erinaceus europaeus,Erinaceus europaeus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,3,http://eol.org/pages/15610,Capreolus,Capreolus capreolus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,2,http://eol.org/pages/23815587,Canis sp.,Canis sp.
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8150,2,http://eol.org/pages/1642,Mammalia,Aurochs/bison size (larger than medium cattle); Sheep-size (medium dog to medium sheep)
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8150,2,http://eol.org/pages/34548,Bos,Bos
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,2,http://eol.org/pages/313992,"Dama dama (Linnaeus, 1758)",Dama dama
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,2,http://eol.org/pages/328605,Felis silvestris Schreber 1777,Felis silvestris
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,2,http://eol.org/pages/34549,Martes,Martes
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,1,http://eol.org/pages/10840,Lepus,Lepus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,1,http://eol.org/pages/328648,"Equus caballus Linnaeus, 1758",Equus caballus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,1,http://eol.org/pages/7662,Carnivora,Medium carnivore
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8150,1,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,1,http://eol.org/pages/328607,"Canis lupus Linnaeus, 1758",Canis lupus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,1,http://eol.org/pages/7674,Felidae,Small felid
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,595,http://eol.org/pages/1642,Mammalia,Cow-size (cattle/red deer/horse); Hare-size (rabbit to medium dog); Medium sheep to medium cattle; Microfauna (smaller than rabbit); Pig-size; Sheep-size (medium dog to medium sheep)
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,107,http://eol.org/pages/34548,Bos,Bos
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,80,http://eol.org/pages/327955,"Homo sapiens Linnaeus, 1758",Homo
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,66,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,41,[No EOL URI assigned] ,,; Flot fragments
